Title,Author,Published,Summary,Article Link,DOI,AI Research Question,AI Objective,AI Contribution,LLM Research Question,LLM Objective,LLM Contribution
Developing a custom GPT based on Inquiry Based Learning for Physics   Teachers,Dimitrios Gousopoulos,2024-12-13T13:08:53Z,"Generative Artificial Intelligence (GenAI) has emerged as a valuable
assistant in many fields such as marketing, finance, project management, and
education. In education, many GenAI tools have been developed to aid teachers
in preparing proper educational material and offering personalized learning to
their students, tailored to their educational needs. In this paper, we present
a custom GPT (IBL Educator GPT) that is designed and developed based on
Inquiry-based Learning and offers physics teachers a framework in which they
can interact with ChatGPT and design educational strategies. The utilization of
the IBL Educator GPT has led to an improvement in teachers' perspectives
regarding the adoption of artificial intelligence-based tools for personalizing
teaching.",http://arxiv.org/abs/2412.18617v1,https://doi.org/10.48550/arXiv.2412.18617,,"Setup and task  
The aim of this study is to create a custom GPT based on Inquiry  Based Learning  (IBL Educator 
GPT) [9], so that teacher s can have an educational framework when interacting with ChatGPT 
and receive several perspectives concerning the subject they want to teach [10,11] .",,What is the impact of using GenAI tools on teachers' perspectives regarding the adoption of AI in the classroom?,To evaluate the effectiveness of a custom GPT (IBL Educator GPT) in improving teachers' perspectives on the use of AI tools in the classroom.,"The development of a custom GPT (IBL Educator GPT) based on Inquiry Based Learning for physics teachers, which has shown to improve teachers' perspectives on the adoption of AI tools in the classroom."
Beyond Text-to-Text: An Overview of Multimodal and Generative Artificial   Intelligence for Education Using Topic Modeling,Raija Hämäläinen,2024-09-24T18:11:24Z,"Generative artificial intelligence (GenAI) can reshape education and
learning. While large language models (LLMs) like ChatGPT dominate current
educational research, multimodal capabilities, such as text-to-speech and
text-to-image, are less explored. This study uses topic modeling to map the
research landscape of multimodal and generative AI in education. An extensive
literature search using Dimensions.ai yielded 4175 articles. Employing a topic
modeling approach, latent topics were extracted, resulting in 38 interpretable
topics organized into 14 thematic areas. Findings indicate a predominant focus
on text-to-text models in educational contexts, with other modalities
underexplored, overlooking the broader potential of multimodal approaches. The
results suggest a research gap, stressing the importance of more balanced
attention across different AI modalities and educational levels. In summary,
this research provides an overview of current trends in generative AI for
education, underlining opportunities for future exploration of multimodal
technologies to fully realize the transformative potential of artificial
intelligence in education.",http://arxiv.org/abs/2409.16376v1,https://doi.org/10.48550/arXiv.2409.16376,"Thus, this study seeks to shed light on artificial
intelligence for education by synthesizing research literature using topic model-
ing to answer the following research question: What is the high-level research
landscape of multimodal approaches and generative AI in education?","2024/1689 (Artificial Intelligence Act), which aims to harmonize rules on
AI, regulates issues such as emotion recognition in educational contexts.","Keyword Occurrences
large language model 3645
generative artificial intelligence 2177
chatgpt 1471
text to speech 461
(Continuing in Figure 2)
Text-to-speech was the next common keyword after language models followed
by text-to-image, text-to-text, and speech-to-text, reflecting the maturity of
technologies [i.e., 38, 44, 22, 2] and diffusion of innovations into educational
domain (Table 1, Figure 2).",How is artificial intelligence being utilized in education?,To explore the current trends and gaps in the use of generative AI for education,The paper provides an overview of current trends in generative AI for education and highlights the need for more balanced attention across different AI modalities and educational levels. It also suggests opportunities for future exploration of multimodal technologies to fully realize the transformative potential of artificial intelligence in education.
Generativism: the new hybrid,B. Mairead Pratschke,2023-09-21T20:23:58Z,"Generative Artificial Intelligence (GenAI) in Education has in a few short
months moved from being the topic of discussion around speculative education
futures to a very concrete reality. It is clear that the future of education,
as all industries, is collaboration with GenAI. GenAI attributes make it well
suited for social and constructivist approaches to learning that value
collaboration, community and the construction of knowledge and skills through
active learning. This article presents an approach to designing education in
collaboration with GenAI, based on digital education frameworks adapted for
this new hybrid of the AI age.",http://arxiv.org/abs/2309.12468v1,https://doi.org/10.48550/arXiv.2309.12468,,"The model aims to create a deep and meaningful (collabora@ve-construc@vist) learning experience, focusing on thinking and learning collabora@vely, on the process of inquiry, and incorpora@ng social and cogni@ve presence throughout.",,"How can the Community of Inquiry Framework, ABC model, and Generative AI be integrated to improve learning outcomes?","To explore the potential of integrating the Community of Inquiry Framework, ABC model, and Generative AI in order to improve learning outcomes.","This paper proposes a new approach to learning that combines the Community of Inquiry Framework, ABC model, and Generative AI, drawing on various learning theories and approaches. It also provides insights into the capabilities of Generative AI and its potential for collaboration in the learning process."
Early Adoption of Generative Artificial Intelligence in Computing   Education: Emergent Student Use Cases and Perspectives in 2023,Gabe Fierro,2024-11-17T20:17:47Z,"Because of the rapid development and increasing public availability of
Generative Artificial Intelligence (GenAI) models and tools, educational
institutions and educators must immediately reckon with the impact of students
using GenAI. There is limited prior research on computing students' use and
perceptions of GenAI. In anticipation of future advances and evolutions of
GenAI, we capture a snapshot of student attitudes towards and uses of yet
emerging GenAI, in a period of time before university policies had reacted to
these technologies. We surveyed all computer science majors in a small
engineering-focused R1 university in order to: (1) capture a baseline
assessment of how GenAI has been immediately adopted by aspiring computer
scientists; (2) describe computing students' GenAI-related needs and concerns
for their education and careers; and (3) discuss GenAI influences on CS
pedagogy, curriculum, culture, and policy. We present an exploratory
qualitative analysis of this data and discuss the impact of our findings on the
emerging conversation around GenAI and education.",http://arxiv.org/abs/2411.11166v1,https://doi.org/10.48550/arXiv.2411.11166,"GenAI reframe prior questions on tooling in computing educa-
tion, and how might educational policies best support the changing
educational and career needs of students?",,,How do students perceive the use of GenAI in education and its potential impact on the field of computing?,To explore student perspectives on the use of GenAI in education and its potential impact on the field of computing.,"This paper presents a qualitative and exploratory analysis of student perspectives on the use of GenAI in education, providing insights into potential concerns and benefits of its use in the field of computing."
Education in the age of Generative AI: Context and Recent Developments,Geber Ramalho,2023-08-17T19:56:57Z,"With the emergence of generative artificial intelligence, an increasing
number of individuals and organizations have begun exploring its potential to
enhance productivity and improve product quality across various sectors. The
field of education is no exception. However, it is vital to notice that
artificial intelligence adoption in education dates back to the 1960s. In light
of this historical context, this white paper serves as the inaugural piece in a
four-part series that elucidates the role of AI in education. The series delves
into topics such as its potential, successful applications, limitations,
ethical considerations, and future trends. This initial article provides a
comprehensive overview of the field, highlighting the recent developments
within the generative artificial intelligence sphere.",http://arxiv.org/abs/2309.12332v1,https://doi.org/10.48550/arXiv.2309.12332,,"In
the
late
1960s,
Jaime
Carbonell
introduced
SCHOLAR
[3],
an
innovative
program
that
could
automatically
answer
questions
about
South
American
geography
in
natural
language
and
assess
students'
responses.",,What are the potential pitfalls of over-dependence on AI in education?,"To discuss the concerns and potential pitfalls of using AI in education, including equity issues, data privacy, bias, human interaction, and ethical considerations.","This paper provides a comprehensive overview of the potential benefits and concerns of using AI in education, as well as offering guidelines and supportive measures for institutions to enhance teaching efficacy and learning outcomes."
"ChatGPT in Veterinary Medicine: A Practical Guidance of Generative   Artificial Intelligence in Clinics, Education, and Research",Candice P. Chu,2024-02-26T02:59:07Z,"ChatGPT, the most accessible generative artificial intelligence (AI) tool,
offers considerable potential for veterinary medicine, yet a dedicated review
of its specific applications is lacking. This review concisely synthesizes the
latest research and practical applications of ChatGPT within the clinical,
educational, and research domains of veterinary medicine. It intends to provide
specific guidance and actionable examples of how generative AI can be directly
utilized by veterinary professionals without a programming background. For
practitioners, ChatGPT can extract patient data, generate progress notes, and
potentially assist in diagnosing complex cases. Veterinary educators can create
custom GPTs for student support, while students can utilize ChatGPT for exam
preparation. ChatGPT can aid in academic writing tasks in research, but
veterinary publishers have set specific requirements for authors to follow.
Despite its transformative potential, careful use is essential to avoid
pitfalls like hallucination. This review addresses ethical considerations,
provides learning resources, and offers tangible examples to guide responsible
implementation. Carefully selected, up-to-date links to platforms that host
large language models are provided for advanced readers with programming
capability. A table of key takeaways was provided to summarize this review. By
highlighting potential benefits and limitations, this review equips
veterinarians, educators, and researchers to harness the power of ChatGPT
effectively.",http://arxiv.org/abs/2403.14654v1,https://doi.org/10.48550/arXiv.2403.14654,"Can you recommend some resources for beginners?’
(Supplementary Material).","This article aims to discuss the applications
of ChatGPT in veterinary medicine, provide practical implementations, and
examine its limitations and ethical considerations.","The academic community remains wary of ChatGPT 's potential to
overshadow faculty contributions (53).",A pertinent question is the detectability of AI-generated content without explicit disclosure.,To discuss the potential risks and misconceptions surrounding the use of AI-generated content in academic writing and clinical care.,"This paper highlights the need for transparency and ethical utilization of AI in veterinary medicine, and suggests the development of a 'ChatGPT detector' to identify AI-authored texts."
Shaping Integrity: Why Generative Artificial Intelligence Does Not Have   to Undermine Education,Nicholle Mae Amor Tan Maravilla,2024-07-26T21:07:33Z,"This paper examines the role of generative artificial intelligence (GAI) in
promoting academic integrity within educational settings. It explores how AI
can be ethically integrated into classrooms to enhance learning experiences,
foster intrinsic motivation, and support voluntary behavior change among
students. By analyzing established ethical frameworks and educational theories
such as deontological ethics, consequentialism, constructivist learning, and
Self-Determination Theory (SDT), the paper argues that GAI, when used
responsibly, can enhance digital literacy, encourage genuine knowledge
construction, and uphold ethical standards in education. This research
highlights the potential of GAI to create enriching, personalized learning
environments that prepare students to navigate the complexities of the modern
world ethically and effectively.",http://arxiv.org/abs/2407.19088v2,https://doi.org/10.48550/arXiv.2407.19088,,"The
goal
is
to
illustrate
that
the
ethical
use
of
GAI
in
education
not
only
preserves
but
can
also
enhance
academic
integrity .",,How can AI tools be used to enhance intrinsic motivation and reduce cheating in education?,To explore the potential of AI tools in promoting intrinsic motivation and academic integrity in education.,"This paper discusses the potential of AI tools in promoting intrinsic motivation and academic integrity in education, and provides practical examples of how AI can be integrated into different subject areas to achieve these goals. It also highlights the ethical considerations and frameworks that should be taken into account when using AI in education."
Using Generative Artificial Intelligence Creatively in the Classroom:   Examples and Lessons Learned,Robin L. Tanamachi,2024-09-08T18:23:42Z,"Although generative artificial intelligence (AI) is not new, recent
technological breakthroughs have transformed its capabilities across many
domains. These changes necessitate new attention from educators and specialized
training within the atmospheric sciences and related fields. Enabling students
to use generative AI effectively, responsibly, and ethically is critically
important for their academic and professional preparation. Educators can also
use generative AI to create engaging classroom activities, such as active
learning modules and games, but must be aware of potential pitfalls and biases.
There are also ethical implications in using tools that lack transparency, as
well as equity concerns for students who lack access to more sophisticated paid
versions of generative AI tools. This article is written for students and
educators alike, particularly those who want to learn more about generative AI
in education, including use cases, ethical concerns, and a brief history of its
emergence. Sample user prompts are also provided across numerous applications
in education and the atmospheric and related sciences. While we don't have
solutions for some broader ethical concerns surrounding the use of generative
AI in education, our goal is to start a conversation that could galvanize the
education community around shared goals and values.",http://arxiv.org/abs/2409.05176v1,https://doi.org/10.48550/arXiv.2409.05176,"For example, how can educators use generative AI responsibly and enable students to use these tools in the classroom and in their careers?","While we don't have solutions for some broader ethical concerns surrounding the use of generative AI in education, our goal is to start a conversation that could galvanize the education community around shared goals and values.","For educators and administrators, updating assignments and policies at the pace of generative AI technological advances is time-consuming, resource-intensive, and complex, and puts the education sector in a reactionary state rather than one that allows for innovation in education.",How does the lack of transparency in training data and other details affect trust in generative AI?,To explore the impact of transparency on trust in generative AI and to propose ways to improve transparency in the field.,This paper contributes to the discussion on the importance of transparency in generative AI and suggests potential solutions to improve transparency in the field.
Generative AI in Modern Education Society,Sanjay Chakraborty,2024-12-10T09:11:06Z,"Transitioning from Education 1.0 to Education 5.0, the integration of
generative artificial intelligence (GenAI) revolutionizes the learning
environment by fostering enhanced human-machine collaboration, enabling
personalized, adaptive and experiential learning, and preparing students with
the skills and adaptability needed for the future workforce. Our understanding
of academic integrity and the scholarship of teaching, learning, and research
has been revolutionised by GenAI. Schools and universities around the world are
experimenting and exploring the integration of GenAI in their education systems
(like, curriculum design, teaching process and assessments, administrative
tasks, results generation and so on). The findings of the literature study
demonstrate how well GenAI has been incorporated into the global educational
system. This study explains the roles of GenAI in the schooling and university
education systems with respect to the different stakeholders (students,
teachers, researchers etc,). It highlights the current challenges of
integrating Generative AI into the education system and outlines future
directions for leveraging GenAI to enhance educational practices.",http://arxiv.org/abs/2412.08666v1,https://doi.org/10.48550/arXiv.2412.08666,"1) How does the academic ecosystem integrate GenAI into
the process of teaching and learning?","2) How can the goals of the stakeholders be achieved and
the adoption of GenAI in the higher academic setup
measured and communicated [47]?","Additionally, by fusing traditional learning with
digital innovations and real-world problem-solving, Education
5.0 focuses on fostering critical thinking, creativity, and flexi-
bility in students, preparing them for a world that is changing
quickly [11].",,,
chatGPT for generating questions and assessments based on accreditations,Rania Anwar Aboalela,2023-11-27T08:58:44Z,"This research aims to take advantage of artificial intelligence techniques in
producing students assessment that is compatible with the different academic
accreditations of the same program. The possibility of using generative
artificial intelligence technology was studied to produce an academic
accreditation compliant test the National Center for Academic Accreditation of
Kingdom of Saudi Arabia and Accreditation Board for Engineering and Technology.
A novel method was introduced to map the verbs used to create the questions
introduced in the tests. The method allows a possibility of using the
generative artificial intelligence technology to produce and check the validity
of questions that measure educational outcomes. A questionnaire was distributed
to ensure that the use of generative artificial intelligence to create exam
questions is acceptable by the faculty members, as well as to ask about the
acceptance of assistance in validating questions submitted by faculty members
and amending them in accordance with academic accreditations. The questionnaire
was distributed to faculty members of different majors in the Kingdom of Saudi
Arabias universities. one hundred twenty responses obtained with eight five
percentile approval percentage for generate complete exam questions by
generative artificial intelligence . Whereas ninety eight percentage was the
approval percentage for editing and improving already existed questions.",http://arxiv.org/abs/2312.00047v1,https://doi.org/10.48550/arXiv.2312.00047,The first question was: Do you support the use of ChatGPT technology to produce assessment questions and tests?,"instead of creating the question by the instructor the application uses ChatGPT creates the questions will be innovative, varied, and in line with the course objective.","Cotton and J. R. Shipway, "" Chatting and cheating: Ensuring academic integrity in the era of ChatGPT.,"" Innovations in Education and Teaching International, vol.",To what extent is it possible to deduce questions outside the curriculum to stimulate students to think?,To study the use of ChatGPT technology in producing student assessment questions and tests for information systems curricula.,"The paper proposes the use of ChatGPT technology to generate questions and tests for information systems curricula, potentially improving the quality and variety of assessment questions. It also suggests mapping Bloom's Taxonomy verbs to ABET student outcomes for an information systems program at a specific university."
